text,category
"INR 820.75 credited to A/c XXXX15 on 08th May 2024, 12:00 AM via RTGS from Calhoun-Lee. Current Balance: INR 9,896.65.",income
VPA 997-432-6719@paytm linked to HDFC a/c XX7946 debited Rs.114.29 and credited to YYVB82780413374507.ifsc.npci -Ref 244699639140,expense
"INR 455.48 credited to A/c XXXX88 on 03th May 2024, 12:00 AM via RTGS from Meyer PLC. Current Balance: INR 8,817.81.",income
VPA 001-446-582-2629@paytm linked to HDFC a/c XX1672 debited Rs.3333.37 and credited to GB43JDHF59637937770332.ifsc.npci -Ref 885297775222,expense
2733.68 Debited ATM Card Maint Charge GST in your Ac XX2004 on 2024-03-06. .Avl BalRs 2509.97.,expense
"INR 407.81 credited to A/c XXXX54 on 05th May 2024, 12:00 AM via RTGS from Francis-Rich. Current Balance: INR 7,723.49.",income
9516.03 Debited ATM Card Maint Charge GST in your Ac XX5586 on 2024-04-24. .Avl BalRs 5576.54.,expense
UPI -VPA +1-618-222-7272@paytm linked to HDFC a/c XX8663 debited Rs.4926.37 and credited to GB81MEYG71712294450801.ifsc.npci -Ref 728293537262,expense
"INR 178.03 credited to A/c XXXX84 on 11th May 2024, 12:00 AM via RTGS from Trevino-White. Current Balance: INR 8,469.44.",income
"Your salary of INR 34398.26 has been credited to A/c XXXX17 on 12th May 2024, 12:00 AM via RTGS from Clark Inc. Current Balance: INR 8,376.33.",income
UPI -VPA +1-987-901-0080x604@paytm linked to ICICI a/c XX8787 debited Rs.383.71 and credited to GB57GNMH20286888488835.ifsc.npci -Ref 624739444259,expense
8741.75 Debited ATM Card Maint Charge GST in your Ac XX2843 on 2024-02-23. .Avl BalRs 3928.46.,expense
"Sent Rs.7569.09 from Axis Bank AC X7262 to paytm4352168@paytm on 2024-05-09.UPI Ref 453409167895. Not you, http://hernandez-flores.info/",expense
"Rs.2245.40 Credited to SB-xxx3818 AcBal:2986.50 CLRBal: 19,485.21 [840838] Pierce Spring on 05th May 2024, 12:00 AM. Flores and Sons.",income
"Rs.4822.96 Credited to SB-xxx6926 AcBal:2171.89 CLRBal: 13,124.46 [788293] Byrd Land on 04th May 2024, 12:00 AM. Williams Group.",income
"Dear Customer, INR 668.51 has been credited to A/c XXXX48 on 12th May 2024, 12:00 AM, 10:18 PM via IMPS from Hutchinson-Castro. Current Balance: INR 6,853.06.",income
"Your salary of INR 32663.66 has been credited to A/c XXXX67 on 02th May 2024, 12:00 AM via UPI from Morse-Castillo. Current Balance: INR 5,763.82.",income
UPI -VPA (532)915-6972x63725@paytm linked to ICICI a/c XX1503 debited Rs.967.97 and credited to KAOA18403219059302.ifsc.npci -Ref 595078310439,expense
"INR 314.41 credited to A/c XXXX73 on 12th May 2024, 12:00 AM via RTGS from Mccarty, Lucero and Benitez. Current Balance: INR 2,293.36.",income
4293.49 Debited ATM Card Maint Charge GST in your Ac XX9016 on 2024-01-20. .Avl BalRs 6552.67.,expense
UPI -VPA (960)358-8967@paytm linked to Bank a/c XX5641 debited Rs.4502.95 and credited to GB55YNOG52995041452639.ifsc.npci -Ref 672188309587,expense
"INR 239.60 credited to A/c XXXX64 on 10th May 2024, 12:00 AM via RTGS from Moore, Brown and Curry. Current Balance: INR 3,981.57.",income
"Sent Rs.8146.34 from Kotak Bank AC X9417 to paytm9030109@paytm on 2024-04-01.UPI Ref 583523392020. Not you, https://www.dorsey.com/",expense
"Dear Customer, INR 474.95 has been credited to A/c XXXX74 on 01th May 2024, 12:00 AM, 12:45 PM via IMPS from Torres and Sons. Current Balance: INR 7,509.51.",income
"Your salary of INR 41287.72 has been credited to A/c XXXX64 on 06th May 2024, 12:00 AM via RTGS from Ward Group. Current Balance: INR 5,773.26.",income
"Rs.4220.38 Credited to SB-xxx4833 AcBal:4999.39 CLRBal: 11,122.50 [583830] Stanley Springs on 09th May 2024, 12:00 AM. Hayes, Mullen and Turner.",income
"Rs.4459.73 Credited to SB-xxx1874 AcBal:4013.28 CLRBal: 10,915.50 [817111] Cooper Walks on 11th May 2024, 12:00 AM. Sullivan-Ramos.",income
"Your salary of INR 19629.06 has been credited to A/c XXXX22 on 01th May 2024, 12:00 AM via RTGS from Gutierrez-Harvey. Current Balance: INR 2,332.17.",income
"INR 393.88 credited to A/c XXXX32 on 01th May 2024, 12:00 AM via RTGS from Poole Inc. Current Balance: INR 4,030.78.",income
UPI -VPA 235.665.8763@paytm linked to SBI a/c XX1790 debited Rs.3045.41 and credited to ERLK31354262133085.ifsc.npci -Ref 954655907221,expense
9554.09 Debited ATM Card Maint Charge GST in your Ac XX3458 on 2024-04-09. .Avl BalRs 2212.97.,expense
